white,black,result,date,site,moves
MisterBiggStuff,nuwonga,0-1,????.??.??,https://lichess.org/RQaXLrtD,e4 d6 d4 Nf6 Bd3 e5 Qe2 exd4 c3 dxc3 Nxc3 Be7 Nf3 Nc6 h3 Be6 O-O O-O Rd1 Qd7 Bf4 Rad8 e5 dxe5 Nxe5 Qc8 Nxc6 bxc6 Ba6 Rxd1+ Rxd1 Qb8 b3 Bd6 Bg5 Nd5 Ne4 Qb6 Bc4 h6 Nxd6 cxd6 Bxd5 Bxd5 Be3 Qc7 Qc2 Qb7 Qf5 Re8 Qg4 Re4 Qg3 Re6 Bf4 Rg6 Bxd6 Rxg3 Bxg3 c5 Kh2 Bxg2 Rd8+ Kh7 Be5 Bf1 Kg3 Qg2+ Kf4 Qxh3 f3 Qh2+ Ke4 Qe2+
mosqan,Qarro,1-0,????.??.??,https://lichess.org/lTWNwW4E,d4 d5 c4 dxc4 Nc3 Nc6 Bf4 Nf6 Nb5 Ng4 Nxc7+ Kd7 Nxa8 Qa5+ Bd2 Qb5 Qc2 e5 dxe5 Ngxe5 e3 Bb4 Bxb4 Qxb4+ Qc3 Qb5 a3 Nd3+ Bxd3 cxd3 b4 Qd5 Nf3 d2+ Nxd2 Qxg2 Rf1 Ke8 Nc7+ Kd7 Nb5 Re8 O-O-O Qxh2 Nf3+ Qd6 Rxd6+ Ke7 Ne5 Nxe5 Qxe5+ Kf8 Qc5 Bh3 Rh1 Bg2 Rxh7 Ke7 Nc7 b6 Qe5+ Kf8 Rh8#
sani,paoloaka,1-0,????.??.??,https://lichess.org/pAKC7Vqu,d4 d5 c4 e6 Nc3 Nf6 Bg5 c6 e4 dxe4 Nxe4 Be7 Nxf6+ Bxf6 Bxf6 Qxf6 Nf3 Nd7 Bd3 b6 Qc2 g6 O-O O-O Rfe1 Qg7 Qd2 a6 b4 c5 dxc5 Bb7 cxb6 Bxf3 gxf3 Nxb6 c5 Nd5 Be4 Rad8 Bxd5 Rxd5 Qc2 Rg5+ Kf1 Qf6 Qe4 Rd8 Rad1 Rxd1 Rxd1 Rh5 c6 Rh4 c7 Rxe4 fxe4 Qc3 Rd8+ Kg7 c8=Q Qh3+ Ke1 Qxh2 Rg8+ Kh6 Qc1+ Kh5 Rh8 Qh1+ Kd2 Qxe4 Rxh7+ Kg5 f4+ Qxf4+ Kc2 Qxc1+ Kxc1
kruzo,mahana,0-1,????.??.??,https://lichess.org/XsRti7Ml,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e5 Nb3 Be6 Be2 Be7 Qd2 O-O O-O-O Nbd7 Kb1 Qc7 Nc1 b5 f4 b4 Nd5 Bxd5 exd5 Rfc8 fxe5 Ne4 Qf4 Qxc2+ Ka1 Bxg5 Qg4 Bxc1 Bd3 Qxb2#
bigorneau,titich,1-0,????.??.??,https://lichess.org/IBPCXmPV,d4 Nf6 c4 c5 d5 b5 cxb5 Qa5+ Nc3 a6 bxa6 Bxa6 f4 g6 Nf3 Ne4 Bd2 Nxd2 Qxd2 Bg7 e4 d6 Bxa6 Nxa6 O-O O-O e5 Rfe8 e6 fxe6 dxe6 Nc7 Rfe1 Nb5 Nxb5 Qxb5 b3 Bxa1 Rxa1 Rf8 Ng5 Qa5 Qf2 Qc3 Rd1 Qb4 Qh4 h5 Nf7 Qe4 Qxe7 Qe3+ Kh1
API-5555,maxe,0-1,????.??.??,https://lichess.org/HUu2HFr9,e4 c5 Nc3 Nc6 Bc4 g6 d3 Bg7 Nf3 a6 a4 e6 Rb1 Nge7 Bg5 h6 Bh4 O-O O-O d6 d4 cxd4 Ne2 e5 Bd5 Be6 c4 Qd7 b3 Nb4 Bxe7 Qxe7 Nd2 Bxd5 cxd5 Rac8 f4 d3 Nc1 exf4 Rxf4 Qg5 Rf3 Bd4+ Kh1 Bc3 Nxd3 Qxd2 Nxb4 Bxb4 Qf1 Rc2 Rg3 Rfc8 h4 Rc1 Rxc1 Rxc1 Rf3 Rxf1+ Rxf1 Bc5 Kh2 Bd4 Kh1 Qe3
Voittamaton,guillermo1066,1-0,????.??.??,https://lichess.org/6ojU2RZh,e4 e5 Nc3
AbuGeber,jr2412,0-1,????.??.??,https://lichess.org/YhwjvOcz,e4 e5 f4 exf4 Nf3 g5 h4 h6 hxg5 Bg7 gxh6 Rxh6 Rxh6 Bxh6 Nc3 d6 d4 Bg4 Be2 Bxf3 Bxf3 Qh4+ Ke2 Nc6 a3 O-O-O Nd5 Re8 c3 f5 Qe1 Qxe1+ Kxe1 fxe4 Bh5 Rf8 b4 a6 Ra2 e3 Ke2 Nf6 Nxf6 Rxf6 Bb2 Ne7 Ra1 Nf5 Bf3 Ng3+ Kd3 c6 c4 Kc7 d5 Rg6 Bd4 Rg8 c5 Nf5 cxd6+ Kxd6 Bc5+ Kc7 dxc6 bxc6 a4 Rd8+ Ke2 Ng3+ Ke1 Rd2 Rd1 Rxd1+ Kxd1 Bg7 Bd4 Bxd4
Tinasoria,igorchess,0-1,????.??.??,https://lichess.org/wPgEdmeP,e4 b6 d4 Bb7 Nc3 e6 Nf3 Bb4 Bd2 Ne7 Ng5 O-O Nf3 d6 Bd3 Nd7 O-O c5 a3 Bxc3 Bxc3 Nf6 Re1 Ng6 b4 Rc8 bxc5 dxc5 Rb1 cxd4 Bxd4 Re8 a4 e5 Ba1 Nh5 a5 Nhf4 Re3 Nh4 g3 Nxf3+ Rxf3 Nh3+ Kh1 Ng5 Re3 f5 Kg1 Bxe4 Bxe4 Nxe4 Qxd8 Rexd8 axb6 axb6 Rxb6 Rxc2 Bxe5 Rc1+ Kg2 Rc2 Bf4 Rxf2+ Kh3 h6 g4 Rxf4 gxf5 Nf6 Rbe6 Rxf5 Kg3 Rd1 Rc6 Rh1 Rc8+ Kh7 Re7 Rg1+ Kh3 Rh5#
julia-14,Sge,0-1,????.??.??,https://lichess.org/RFGkGzj2,d4 f5 e3 Nf6 f4 g6 Nf3 Bg7 Bd3 O-O Nbd2 d6 c3 Nc6 Ng5 e5 Qb3+ d5 fxe5 Ne4 Ngxe4 fxe4 Bb5 Be6 Nxe4 Na5 Qa4 c6 Nc5 cxb5 Nxe6 bxa4 Nxd8 Raxd8 Bd2 Nc4 b3 Nb2 Ke2 a3 Bc1 Bh6 Rb1 Rc8 Bxb2 axb2 Rxb2 Rxc3 a4 Rxe3+ Kd1 Rd3+ Ke2 Rxd4 Rf1 Re4+
woofo,tiamat,1/2-1/2,????.??.??,https://lichess.org/3ivhzPr9,d4 Nf6 c4 e6 Nc3 Bb4 Qd3 c5 a3 cxd4 axb4 dxc3 Qxc3 Ne4 Qe3 d5 f3 Nf6 c5 Nc6 f4 Ne4 Qd3 Nxb4 Qxe4 dxe4 e3 Nc2+ Kf2 Qd1 Ne2 Nxa1 Nc3 Qxc1 Bb5+ Bd7 Rxc1 Bxb5 Nxb5 O-O Rxa1 a6 Nd4 Rac8 b4 f6 f5 e5 Ne6 Rfe8 b5 axb5 Ra7 Rb8 Nc7 Re7 Nd5 Rd7 Nb6 Rd2+ Kg3 Re2 Nd7 Rd8 c6 bxc6 Nb6 Rxe3+ Kf2 Red3 Ra8 Rd2+ Ke3 Rd3+ Kf2 Rxa8 Nxa8 c5 Nb6 c4 Ke2 Rd4 g4 b4 h4 c3 Na4 Rd2+ Ke1 Rd3 Nc5 Rd2 Nb3 Rd7 Nc5 Rd8 Nb3 c2 Nc1 b3 Nxb3 Rd1+ Ke2 c1=Q Nxc1 Rxc1 Ke3 Rc4 g5 Rd4 gxf6 gxf6 h5 Kf7 h6 Kf8 Ke2 Kf7 Ke3 Kf8 Ke2 Ke8 Ke3 Kd7 Ke2 Kc6 Ke3 Kc5 Ke2 Kc4 Ke3 Kc3 Ke2 Rd3 Ke1 Kc2 Ke2 e3 Ke1 e4 Ke2 Rd2+ Ke1 Rf2
janson,Hod,0-1,????.??.??,https://lichess.org/xkJ35dKS,d4 g6 e3 Bg7 Nf3 d6 Nbd2 Nf6 Bd3 Nbd7 O-O O-O e4 e5 dxe5 dxe5 b3 Nc5 Bb2 Nxd3 cxd3 Qxd3 Nxe5 Qb5 Ndc4 Be6 Qf3 Qe8 Rad1 b5 Ne3 Nh5 Ba3 Bxe5 Bxf8 Qxf8 h3 Bg7 Ng4 Qc5 e5 Re8 Rc1 Qe7 Nf6+ Nxf6 exf6 Bxf6 Qb7 Be5 Qxb5 Bd6 Qa6 Qg5 Rc3 Qe5 Rg3 Qc5 Rf3 Qb6 Qe2 a5 Re3 Qb4 Re1 Qc5 Qd3 Qg5 Kh1 Bb4 Rc1 Qe7 Rc6 Bd6 Qc3 Qg5 a3 Qf5 Rf3 Qb1+ Qc1 Qxc1+ Rxc1 Bd5 Rd3 Be4 Re3 Bf4 Rxe4 Rxe4 Rd1 Kg7 g3 Bd6 Kg2 Bxa3 Ra1 Bb4 Rc1 Re7 h4 c5 f4 Re2+ Kf3 Rb2
mary65,Process,1/2-1/2,????.??.??,https://lichess.org/cJVwMcNA,e4 c6 Nf3 d5 e5 Bg4 h3 Bxf3 Qxf3 e6 d4 Be7 c3 Nd7 Bd3 Qb6 Qe2 f6 Be3 fxe5 dxe5 Qc7 Bd4 O-O-O O-O c5 Be3 Nxe5 f4 Nxd3 Qxd3 c4 Qe2 Nf6 Bf2 Bc5 Bxc5 Qxc5+ Qf2 Qxf2+ Rxf2 Ne4 Re2 Rdf8 Nd2 Nxd2 Rxd2 Rxf4 Rf1 Rhf8 Rxf4 Rxf4 Rf2 Rxf2 Kxf2 Kd8 Kf3 Ke7 Kf4 Kf6 g4 g5+ Kf3 Ke5 Ke3 h6 b3 cxb3 axb3 b5 c4 bxc4 bxc4 dxc4 Kd2 Kf4 Kc3 Kg3 Kxc4 Kxh3 Kd4 Kxg4 Ke5 h5 Kxe6 h4 Kf6 h3 Kg6 h2 Kh6 h1=Q+ Kg6 Qf3 Kh6 Kf4 Kg6 Ke5 Kxg5 Qf4+ Kg6 Qg3+ Kf7 Qg5 Ke8 Qf6 Kd7 Qd6+ Kc8
Tikal,Vakamb,1-0,????.??.??,https://lichess.org/XgUxeZxq,c4 f5 Nc3 g6 d4 Bg7 e3 d6 g3 Nf6 Bg2 O-O Nge2 c6 d5 c5 O-O e5 f3 Nbd7 e4 Nb6 b3 h6 Bb2 g5 Qd3 h5 exf5 g4 f4 e4 Nxe4 Nxe4 Bxg7 Kxg7 Bxe4 Qf6 Rae1 Bxf5 Bxf5 Qxf5 Qc3+ Qf6 Qd3 Rfe8 Nc3 Qd4+ Qxd4+ cxd4 Nb5 Re2 Rxe2
IL10000,tricycle,0-1,????.??.??,https://lichess.org/K7QCbsHT,e4 b6 Nf3 Bb7 Nc3 e6 a3 Ne7 d4 g6 Bd3 Bg7 O-O d6 Be3 O-O Re1 Nd7 e5 Rc8 exd6 cxd6 Be2 a6 Rc1 d5 Na2 Nf5 c4 Nf6 cxd5 Nxe3 fxe3 Nxd5 Rxc8 Qxc8 Qd3 Bh6 Bd1 b5 Bb3 Nb6 Ne5 Bg7 Nf3 Qc6 Rf1 h6 Qe2 g5 Ne1 Rd8 Nd3 Rd7 Nab4 Qe4 Nc2 Bxd4 exd4 Qxe2 Nce1 Nc4 Rf2 Qe3 Bxc4 bxc4 Kf1 cxd3 Rf3 Qe2+
jalrivi,xjanix,0-1,????.??.??,https://lichess.org/WNd5qJHs,d4 g6 e4 Bg7 c4 e6 Nc3 a6 Nf3 d6 Bd3 Ne7 Be3 O-O O-O b6 Qe2 Nd7 Rfd1 Bb7 Rac1 Rc8 b3 c5 dxc5 Nxc5 Bb1 Bxc3 Rxc3 Nxe4 Bxe4 Bxe4 Bh6 Bxf3 Qxf3 Re8 Rcd3 Nf5 Bc1 Qc7 g4 Nh4 Qh3 Qe7 Bb2 Rcd8 Bc1 e5 Bb2 Qf6 Rg3 Qe7 Rf1 b5 Re1 bxc4 f4 Qa7+ Kf1 exf4 Rd3 Rxe1+ Kxe1 Qe7+ Kd1 g5 Rd5 Qe3 Qxe3 fxe3 bxc4 h6 Ke2 Ng6 Bf6 Nf4+ Kxe3 Nxd5+
Richiekich,iyidebananee,0-1,????.??.??,https://lichess.org/c3Mgp0QX,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qh5 Qf6 d4 Qxf2+ Kd1 Bb4 c3 Bd6 Bc4 O-O Bd3 Nf6 Qh3 Bxe5 dxe5 d6 exf6 Bxh3 fxg7 Kxg7 Rf1 Qxg2 Be3 Qg4+ Kc1 Bxf1 Bxf1 Qf3 Bd4+ Kg8 Bc4 Nc6 Nd2 Qh1+ Bf1 Nxd4 cxd4 Rfe8 Kc2 Re2 Kd3 Rae8 Nc4 Re1 Rxe1 Rxe1 Bh3 Qe4+ Kc3 Rd1 d5 Qd4+ Kb4 Qxd5
daji1006,eduardogauche,0-1,????.??.??,https://lichess.org/CHduNk5Z,c4 f5 Nf3 Nf6 d4 e6 Nc3 d5 e3 c6 Be2 Bd6 O-O Nbd7 h3 O-O a3 a5 b3 Ne4 Bb2 Nxc3 Bxc3 g5 Nd2 Qf6 f4 h6 cxd5 exd5 Qc2 gxf4 exf4 Qg6 Rf3 Nf6 Nf1 Kh8 Rg3 Qh7 Bd2 Ne4 Rf3 Be6 Ng3 Rg8 Nxe4 fxe4 Rf2 Bxh3 Be3 Rg7 Kh2 Bg4 Rg1 Rag8 g3 Qg6 Bxg4 Qxg4 Qe2 Qf5 Rfg2 Rg4 Rh1 Qg6 Qf2 Kh7 Kg1 Qf5 Rh3 Bxa3 Bd2 Bb4 Be3 R4g6 g4 Rxg4
Master_Chief,KarelusMaximmus,0-1,????.??.??,https://lichess.org/CByhKfBK,e3 a6 Bd3 b5 b3 Bb7 Nf3 e6 O-O Nf6 Be2 d5 d4 Nbd7 Bb2 c5 Ne5 cxd4 Bxd4 Bd6 Nxf7 Kxf7 Bh5+ g6 Bxg6+ hxg6 Qf3 Bxh2+ Kh1 Be5+ Kg1 Bxd4 exd4 Qc7 Qg3 Qxc2 Na3 Qf5 f3 Qh5 Kf2 Rac8 Rh1 Rc2+ Ke3 Rc3+ Ke2 Rc2+ Nxc2 Qxh1 Rxh1 Rxh1 Ne3 Rc1 Kd2 Ra1 a4 Ra2+ Kc3 bxa4 bxa4 Rxa4 Kb3 Ra1 Nc2 Rc1 Qf2 Rh1 Qd2 Rh5 Qa5 Kg7 Qc7 Kh6 Qxb7 Ne5 Qxa6 Nxf3 Qxe6 Rf5
armin_45,gengis78,1-0,????.??.??,https://lichess.org/06JYMePI,c4 e5 Nc3 Nf6 Nf3 Nc6 d4 exd4 Nxd4 Bb4 e3 Nxd4 exd4 O-O Be2 Ne4 Qc2 Nxc3 bxc3 Be7 O-O d6 Bf3 c6 Re1 Re8 Bf4 d5 cxd5 cxd5 Qb3 Be6 Qxb7 Qb6 Qxb6 axb6 Reb1 Rac8 Bd2 Rc6 Be2 Rec8 a4 Bf5 Rb2 Be4 f3 Bf5 Bb5 Rg6 a5 Bh3 Be1 bxa5 Rxa5 Be6 Bd3 Rf6 Bh4 g5 Bxg5
D31282,nesulito,0-1,????.??.??,https://lichess.org/SFNpSyoG,d4 d5 Nf3 Nf6 Nbd2 Nbd7 e3 e6 c4 c5 b3 cxd4 Nxd4 Bb4 Be2 Ne4 Nf3 Nc3 Qc2 Nxe2 Kxe2 O-O Bb2 b6 Rhd1 Bb7 cxd5 exd5 Rac1 Nf6 Qc7 Ba6+ Ke1 Qxc7 Rxc7 Ne4 a3 Nxd2 Nxd2 Bd6 Rd7 Rfd8 Rxd8+ Rxd8 b4 f6 Nf3 Bc4 h3 b5 Nd2 Be5 Bxe5 fxe5 f4 exf4 exf4 Re8+ Kf2 Re2+ Kf3 Re7 Kf2 Kf7 Re1 Rxe1 Kxe1 Kf6 g4 g5 f5 h5 Kf2 hxg4 hxg4 Bd3 Ke3 Bc4 Kd4 Be2 Kxd5 Bxg4 Ne4+ Kxf5 Nd6+ Kf4 Nxb5 Bf3+ Kd4 a6 Nc3 g4 a4 g3 b5 axb5 axb5 g2 Nd5+ Bxd5 Kxd5 g1=Q Kc6 Qa7 b6 Qb8 b7 Ke5 Kb6 Kd6 Ka6 Kc5 Ka5 Qa7#
marsbull,Alco1,0-1,????.??.??,https://lichess.org/1yfKCZUX,d4 f5 Nf3 d6 e3 h6 c4 g5 a3 e6 b4 g4 Nh4 Qxh4 g3 Qe7 Qa4+ Bd7 Qa5 b6
CreamPie91,yaltuf,1-0,????.??.??,https://lichess.org/IQltxFJT,b3 Nf6 e3 g6 d3 Bg7 Bb2 O-O Nc3 d5 Na4 c5 Nxc5 Nc6 Na4 b6 c4 dxc4 dxc4 Qxd1+ Kxd1 Rd8+ Kc2 Bf5+ Kc3 Ne4+ Kc2 Nxf2+ Kc1 Nxh1 Nh3 Nf2 Nxf2 e6 g4 Bxb2+ Kxb2 Bd3 Nxd3 e5 Nc1 e4 Ne2 f5 Nac3 f4 exf4 Nd4 Nxd4 Rxd4 Rd1 Rad8 Rxd4 Rxd4 Bg2 Rd2+ Ka3 Rxg2 Nxe4 Rxg4 Nf6+ Kg7 Nxg4 Kf7 Nf2 Kf6 h4 Kf5 Nd3 Kg4 f5 gxf5 Ne5+ Kg3 Nf7 f4 h5 f3 Ng5 f2 Ne4+ Kf3 Nxf2 Kxf2 c5 Kg3 cxb6 axb6 Kb4 Kg4 h6 Kh5 Kb5 Kxh6 Kxb6 Kg5 a4 h5 a5 h4 a6 h3 a7 h2 a8=Q Kh4 Qh1
JaiSkiesNY,Thoth33,1-0,????.??.??,https://lichess.org/r54MMi8q,e3 d5 c3 Nf6 d4 e6 Bd3 Nbd7 f3 e5 Ne2 e4 fxe4 dxe4 Bc2 Bd6 Nd2 c6 Nxe4 Nxe4 Bxe4 Nf6 Qc2 Qc7 g3 Bg4 Bd3 Bf3 Rf1 Bh5 e4 Bxe2 Qxe2 Be7 Bg5 O-O-O O-O-O c5 d5 a6 c4 h6 Bf4 Qa5 Kb1 b6 e5 Nd7 d6 Bg5 Be4 Kb8 Qf3 b5 Ba8 Qb6 cxb5 axb5 Rd3 c4 Ra3 Nc5 Ra6
rasmussenesq,Triceratops_2007,1-0,????.??.??,https://lichess.org/tR5haNqO,e4 e5 Nf3 d6 Bc4 h6 O-O Nf6 Nc3 Bg4 d4 Be7 d5 Nbd7 Re1 Nc5 b4 Ncd7 Be2 O-O Nh4 Bxe2 Qxe2 Nb6 Nf5 c5 bxc5 dxc5 Be3 Rc8 Rad1 Bd6 Bc1 Nbd7 Nxd6 Ra8 Nxb7 Qc8 Nd6 Qc7 Ncb5 Qb6 Nf5 a6 Nbd6 g6 Nxh6+ Kg7 Nc4 Qc7 d6 Qc8 Ng4 Nxg4 Qxg4 Nf6 Qxc8 Raxc8 Nxe5 Rcd8 Nc4 Nd7 e5 f6 Bb2 fxe5 Nxe5 Nxe5 Rxe5 Kf7 d7 Kg8 Red5 Kh7 Ba3 Rf7 Bxc5 Rf6 Be7
